objective	booster	eval_metric	nthread	max_depth	eta	gamma	subsample	min_child_weight	colsample_bytree	colsample_bylevel	alpha	lambda	iter	train_auc_mean	train_auc_std	test_auc_mean	test_auc_std
binary:logistic	gbtree	auc	8	6	0.3	0	0.7	10	0.7	0.5	0	0.05	45	0.8182816	6.3707977521316e-4	0.7701436	0.0017728663344709072
binary:logistic	gbtree	auc	8	7	0.3	0	0.7	10	0.7	0.5	0	0.05	40	0.8335716	0.0011125999460888368	0.766382	0.0021651941252589474
binary:logistic	gbtree	auc	8	8	0.3	0	0.7	10	0.7	0.5	0	0.05	28	0.8401802	0.0014467432944192964	0.7643992	0.003275158768677929
binary:logistic	gbtree	auc	8	5	0.1	0	0.5	20	0.7	0.5	0	0.05	261	0.8212752	0.0010424216805389075	0.777539	0.0027894642496401182
binary:logistic	gbtree	auc	8	6	0.1	0	0.5	20	0.7	0.5	0	0.05	168	0.8233138	4.876307619658294e-4	0.776825	0.0022657944302005226
binary:logistic	gbtree	auc	8	9	0.3	0.1	0.8	20	0.7	0.7	0	0.05	29	0.8629268	3.1924435779276915e-4	0.7685448	0.0022757670706894614
binary:logistic	gbtree	auc	8	8	0.3	0.1	0.8	20	0.7	0.7	0	0.05	31	0.8488017999999999	8.917940121194873e-4	0.7706404	0.002440839904624388
binary:logistic	gbtree	auc	8	7	0.3	0.1	0.8	20	0.7	0.7	0	0.05	40	0.8387624	8.438942113252511e-4	0.7733584	0.0023924975736545977
binary:logistic	gbtree	auc	8	6	0.3	0.1	0.8	20	0.7	0.7	0	0.05	52	0.8295522	4.1309243525478056e-4	0.7748273999999999	0.0011468873702653911
binary:logistic	gbtree	auc	8	5	0.3	0.1	0.8	20	0.7	0.7	0	0.05	72	0.8206128	6.785759794987587e-4	0.7778666	0.0014695289857725067
binary:logistic	gbtree	auc	8	9	0.25	0.1	0.8	20	0.7	0.7	0	0.05	40	0.8711278	0.0022526249932095267	0.771925	0.0022414984273912294
binary:logistic	gbtree	auc	8	8	0.25	0.1	0.8	20	0.7	0.7	0	0.05	50	0.8617214	0.0011573805942946397	0.7737832	0.0025544927794192386
binary:logistic	gbtree	auc	8	7	0.25	0.1	0.8	20	0.7	0.7	0	0.05	65	0.8526542	7.454081834731631e-4	0.7745984	0.0015413300230350542
binary:logistic	gbtree	auc	8	6	0.25	0.1	0.8	20	0.7	0.7	0	0.05	64	0.8315164	8.990066962697402e-4	0.7768268	0.002664194767649261
